arm,size,pct,off_pps,tx,rx,loss_pct,lat_min_us,p50_us,p90_us,p99_us,p999_us,lat_n,skipped,hist_n,jitter_n,imissed,ierrors,oerrors
fsB_capio,512,4.00,95875,2893804,2883924,0.3414,148.946,156.000,158.000,158.000,160.000,44322,3,44322,15,0,0,0
fsB_capio,512,5.00,119807,3617329,3604698,0.3492,149.203,156.000,158.000,158.000,160.000,55396,3,55396,22,0,0,0
fsB_capio,512,6.00,142674,4307622,4292355,0.3544,167.278,288.000,288.000,290.000,292.000,33239,5,33239,9,0,0,0
fsB_capio,512,8.00,0,5743469,5722352,0.3677,161.927,288.000,288.000,290.000,292.000,44313,5,44313,24,0,0,0
fsB_capio,512,10.00,237788,7179317,7152423,0.3746,161.698,288.000,288.000,290.000,292.000,55386,5,55386,22,0,0,0
fsB_capio,512,12.00,284675,8593076,8559981,0.3851,164.349,196.000,198.000,198.000,200.000,44307,8,44307,21,0,0,0
fsB_capio,512,15.00,0,10741366,10698288,0.4010,161.303,238.000,240.000,242.000,244.000,55371,8,55371,35,0,0,0
fsB_capio,512,20.00,473780,14303417,14084381,1.5314,169.739,880.000,886.000,892.000,894.000,5990,11701,5990,8,0,0,0
fsB_capio,512,30.00,709727,21426933,14083040,34.2741,166.985,882.000,886.000,886.000,886.000,5,10635,5,2,0,0,0
fsB_capio,1024,1.00,15925,367292,366741,0.1500,164.339,176.000,178.000,178.000,180.000,5628,0,5628,9,0,0,0
fsB_capio,1024,2.00,24310,734582,721455,1.7870,187.585,8154.000,8154.000,8156.000,8192.000,11243,3,11243,15,0,0,0
fsB_capio,1024,3.00,36530,1101939,1082177,1.7934,2624.091,5492.000,5492.000,5494.000,5496.000,16877,3,16877,19,0,0,0
fsB_capio,1024,4.00,48685,1469167,1442730,1.7995,3463.012,4160.000,4162.000,4162.000,4164.000,22500,3,22500,17,0,0,0
fsB_capio,1024,5.00,60840,1836521,1803098,1.8199,1227.142,3362.000,3362.000,3364.000,3396.000,28120,4,28120,41,267,0,0
fsB_capio,1024,6.00,72995,2203814,2163937,1.8095,2592.698,2828.000,2830.000,2832.000,2840.000,33754,3,33754,14,0,0,0
fsB_capio,1024,8.00,97370,2938454,2885056,1.8172,608.116,2162.000,2164.000,2166.000,2168.000,44995,4,44995,41,0,0,0
fsB_capio,1024,10.00,121653,3673035,3606012,1.8247,1513.678,1764.000,1764.000,1766.000,1768.000,56239,4,56239,28,0,0,0
fsB_capio,1024,12.00,189114,4373801,4326699,1.0769,745.748,1938.000,1940.000,1948.000,1962.000,33741,5,33741,32,0,0,0
fsB_capio,1024,15.00,181116,5467360,5407805,1.0893,619.462,1580.000,1584.000,1594.000,1606.000,42170,6,42170,26,0,0,0
fsB_capio,1024,20.00,241412,7289740,7209086,1.1064,1214.045,1224.000,1230.000,1240.000,1252.000,56215,8,56215,17,0,0,0
fsB_capio,1024,30.00,361231,10906698,10808086,0.9041,619.930,800.000,802.000,804.000,810.000,56178,15,56178,34,0,0,0
fsB_capio,1280,1.00,9750,294756,289779,1.6885,19804.652,8192.000,8192.000,8192.000,8192.000,4512,2,4512,5,0,0,0
fsB_capio,1280,2.00,19565,589446,579217,1.7354,8926.886,8192.000,8192.000,8192.000,8192.000,9028,2,9028,12,0,0,0
fsB_capio,1280,3.00,29250,884204,868692,1.7543,6793.976,6802.000,6804.000,6804.000,6808.000,13541,4,13541,9,0,0,0
fsB_capio,1280,4.00,39065,1178960,1158186,1.7621,3043.879,5142.000,5144.000,5146.000,5148.000,18056,5,18056,15,0,0,0
fsB_capio,1280,5.00,48815,1473846,1447765,1.7696,2712.114,4146.000,4150.000,4150.000,4154.000,22569,7,22569,12,0,0,0
fsB_capio,1280,6.00,58565,1768667,1737011,1.7898,2852.614,3484.000,3486.000,3488.000,8192.000,27078,8,27078,93,292,0,0
fsB_capio,1280,8.00,78130,2357981,2315969,1.7817,1145.240,2654.000,2656.000,2658.000,2664.000,36105,7,36105,15,0,0,0
fsB_capio,1280,10.00,130780,2947557,2894857,1.7879,1616.794,2156.000,2158.000,2160.000,2164.000,45130,12,45130,21,0,0,0
fsB_capio,1280,12.00,117196,3536799,3473329,1.7946,635.368,1824.000,1828.000,1830.000,1834.000,54140,14,54140,26,0,0,0
fsB_capio,1280,15.00,145254,4387352,4341422,1.0469,1927.881,1950.000,1958.000,1962.000,1964.000,33840,19,33840,13,0,0,0
fsB_capio,1280,20.00,193758,5849771,5787578,1.0632,682.817,1508.000,1516.000,1518.000,1520.000,45103,26,45103,20,0,0,0
fsB_capio,1280,30.00,289886,8751924,8677196,0.8538,892.794,902.000,906.000,910.000,916.000,45067,46,45067,16,0,0,0
fsB_capio,1514,1.00,8255,249584,245415,1.6704,23673.353,8192.000,8192.000,8192.000,8192.000,3820,2,3820,1,0,0,0
fsB_capio,1514,2.00,16575,499297,490771,1.7076,10719.144,8192.000,8192.000,8192.000,8192.000,7645,3,7645,11,0,0,0
fsB_capio,1514,3.00,24830,748947,736011,1.7272,7893.537,8016.000,8018.000,8020.000,8022.000,11469,4,11469,9,0,0,0
fsB_capio,1514,4.00,0,998596,981255,1.7365,3449.588,6056.000,6060.000,6062.000,6064.000,15291,5,15291,12,0,0,0
fsB_capio,1514,5.00,41340,1248311,1226569,1.7417,3459.030,4882.000,4884.000,4886.000,4888.000,19118,5,19118,23,0,0,0
fsB_capio,1514,6.00,49660,1498022,1471872,1.7456,1780.140,4098.000,4100.000,4102.000,4106.000,22940,5,22940,22,0,0,0
fsB_capio,1514,8.00,0,1997319,1962277,1.7545,1604.532,3118.000,3122.000,3124.000,3126.000,30582,7,30582,31,0,0,0
fsB_capio,1514,10.00,82745,2496681,2452744,1.7598,741.966,2532.000,2534.000,2536.000,2542.000,38227,9,38227,17,0,0,0
fsB_capio,1514,12.00,99255,2996037,2943075,1.7677,637.983,2140.000,2142.000,2144.000,2146.000,45866,11,45866,23,0,0,0
fsB_capio,1514,15.00,124020,3744977,3678431,1.7769,1545.374,1748.000,1750.000,1752.000,1756.000,57328,15,57328,37,0,0,0
fsB_capio,1514,20.00,164088,4955053,4782447,3.4834,647.525,1744.000,1748.000,1756.000,1766.000,38206,20,38206,17,0,0,0
fsB_capio,1514,30.00,246132,7432650,7163853,3.6164,1210.856,1220.000,1226.000,1234.000,1244.000,57270,32,57270,19,0,0,0
fsBrev_capio,64,1.00,204852,4738579,4497157,5.0948,164.251,310.000,314.000,322.000,850.000,34820,11,34820,135,0,0,0
fsBrev_capio,64,2.00,313046,9464411,8552612,9.6340,159.130,254.000,260.000,272.000,1088.000,44205,23,44205,303,14815,0,0
fsBrev_capio,64,3.00,469089,14161415,11252122,20.5438,216.180,962.000,1000.000,1028.000,1150.000,859,6617,859,121,126,0,0
fsBrev_capio,64,4.00,815916,18870824,11356176,39.8215,166.449,950.000,960.000,960.000,960.000,4,3790,4,3,0,0,0
fsBrev_capio,64,5.00,780490,23561309,11355640,51.8039,170.372,984.000,1002.000,1002.000,1002.000,6,3495,6,2,0,0,0
fsBrev_capio,64,6.00,936160,28272577,11261560,60.1679,223.311,978.000,992.000,1032.000,1050.000,179,3121,179,19,0,0,0
fsBrev_capio,64,8.00,1247770,37673242,11383000,69.7849,231.873,948.000,1056.000,1074.000,1074.000,21,4037,21,15,0,0,0
fsBrev_capio,64,10.00,1559206,47073926,11336200,75.9183,172.781,950.000,962.000,1012.000,1022.000,921,2825,921,68,0,0,0
fsBrev_capio,64,12.00,1870814,56480086,11353424,79.8984,200.014,1010.000,1028.000,1028.000,1028.000,6,3677,6,3,0,0,0
fsBrev_capio,64,15.00,2337985,70585167,11349840,83.9204,162.442,946.000,1038.000,1132.000,1132.000,25,3714,25,13,0,0,0
fsBrev_capio,64,20.00,3116570,94092720,11254080,88.0394,172.106,1040.000,1064.000,1102.000,1102.000,11,3788,11,7,0,0,0
fsBrev_capio,64,30.00,4674138,141117261,11352624,91.9552,207.382,1028.000,1048.000,1058.000,1058.000,13,3827,13,3,0,0,0
fsBrev_capio,128,1.00,87880,2652909,2563859,3.3567,154.790,170.000,172.000,180.000,690.000,39412,5,39412,88,0,0,0
fsBrev_capio,128,2.00,174408,5264509,4969444,5.6048,167.574,314.000,318.000,332.000,1000.000,38480,11,38480,108,0,0,0
fsBrev_capio,128,3.00,349845,7876656,7245368,8.0147,11.019,218.000,224.000,244.000,1212.000,37460,20,37460,159,5540,0,0
fsBrev_capio,128,4.00,347948,10502213,9340832,11.0584,167.826,280.000,286.000,308.000,1014.000,48271,22,48271,340,0,0,0
fsBrev_capio,128,5.00,434201,13111216,11207224,14.5219,176.327,926.000,944.000,1010.000,1060.000,8738,13372,8738,94,0,0,0
fsBrev_capio,128,6.00,520790,15720962,11212981,28.6750,231.564,966.000,1010.000,1030.000,1494.000,581,3072,581,61,0,0,0
fsBrev_capio,128,8.00,693935,20950953,11206273,46.5119,172.911,958.000,988.000,1040.000,1092.000,150,2805,150,18,503,0,0
fsBrev_capio,128,10.00,867147,26178820,11201912,57.2100,227.628,1048.000,1072.000,1076.000,1076.000,12,3222,12,5,0,0,0
fsBrev_capio,128,12.00,1039947,31398506,11170368,64.4239,173.375,994.000,1014.000,1066.000,1072.000,180,3119,180,29,0,0,0
fsBrev_capio,128,15.00,1299635,39235836,11194297,71.4692,211.038,958.000,970.000,1026.000,1332.000,1210,2847,1210,104,0,0,0
fsBrev_capio,128,20.00,2322012,52303947,11205855,78.5755,174.217,1012.000,1360.000,1360.000,1360.000,9,3670,9,6,0,0,0
fsBrev_capio,128,30.00,2597407,78420422,11200976,85.7168,175.959,1060.000,1334.000,1334.000,1334.000,9,3706,9,7,0,0,0
fsBrev_capio,256,1.00,46540,1404296,1379212,1.7862,168.264,176.000,178.000,188.000,548.000,21196,3,21196,63,0,0,0
fsBrev_capio,256,2.00,93015,2808658,2715254,3.3256,168.775,176.000,178.000,186.000,806.000,41738,6,41738,83,0,0,0
fsBrev_capio,256,3.00,138546,4180756,3978030,4.8490,173.603,322.000,326.000,344.000,992.000,30802,10,30802,85,0,0,0
fsBrev_capio,256,4.00,184599,5574358,5259283,5.6522,174.297,322.000,328.000,340.000,876.000,40710,12,40710,116,0,0,0
fsBrev_capio,256,5.00,230770,6968011,6428613,7.7411,119.367,322.000,330.000,340.000,892.000,49730,21,49730,175,0,0,0
fsBrev_capio,256,6.00,276312,8339928,7623080,8.5954,171.299,242.000,256.000,268.000,780.000,39419,14,39419,181,0,0,0
fsBrev_capio,256,8.00,368309,11120602,9889510,11.0704,184.163,302.000,314.000,480.000,1022.000,51041,51,51041,215,0,0,0
fsBrev_capio,256,10.00,459874,13882457,10988384,20.8470,202.763,1008.000,1054.000,1074.000,1558.000,752,9092,752,92,4522,0,0
fsBrev_capio,256,12.00,551413,16646454,11009904,33.8604,225.355,970.000,992.000,1040.000,8192.000,1230,4371,1230,149,0,0,0
